nome,tipo,citta,provincia,email,telefono,sito,fonte,note
NF Costruzioni,impresa,Rieti,RI,grupponfnicocostruzioni@gmail.com,335405318,nfcostruzioni.it,sito ufficiale,email verificata
Impresa Edile Cricchi Srl,impresa,Rieti,RI,,0746498305,cricchisrl.com,sito ufficiale,email da cercare sul sito
Coredil Srl (Edil Coronetta),negozio,San Giovanni Reatino,RI,,074673125,coredil.it,sito ufficiale,anche impresa di costruzioni; email da form contatti
C.A.S.A. Edilizia Srls,negozio,Fara in Sabina,RI,info@casaedilizia.it,3401619192,casaedilizia.com,sito ufficiale,email verificata
Caprioli Srl,negozio,Cittaducale (S. Rufina),RI,,,capriolisrl.com,sito ufficiale,email da cercare sul sito
Centro Edilizia Caprioli,negozio,Rieti,RI,,,centroediliziacaprioli.com,sito ufficiale,email da cercare sul sito
Falsini Group,negozio,Contigliano,RI,,0746707286,falsinigroup.it,sito ufficiale,email da cercare sul sito
Termotecnica di Mei Gianfranco,artigiano,Castel Sant'Angelo,RI,termotecnicamei@libero.it,3382085123,termotecnicamei.it,sito ufficiale,email verificata; idraulico/lattoniere
Centro Clima Impianti,artigiano,Rieti,RI,,0746247337,centroclimaimpianti.it,sito ufficiale,idraulico/clima; WhatsApp 3518927717
Cresta,artigiano,Rieti,RI,,0746482836,,ricerca web,clima/idraulica; WhatsApp 3312809700
Termoidraulica Imperatori Roberto,artigiano,Rieti,RI,,,termoidraulicaimperatoriroberto.it,sito ufficiale,email da cercare sul sito
Elettroimpianti Pescetelli,artigiano,Rieti,RI,,336917077,elettroimpiantipescetelli.it,sito ufficiale,elettricista; opera anche su Viterbo/Terni/Roma nord
Elettrica Sicura,artigiano,Rieti,RI,,,elettricasicura.it,sito ufficiale,elettricista; email da cercare sul sito
Impianti Rieti,artigiano,Rieti,RI,,,impiantirieti.it,sito ufficiale,elettricista/domotica; email da cercare sul sito
Studio Tecnico Pier Luigi Rosati,professionista,Rieti,RI,pierluigi.rosati@geopec.it,0746220454,studiotecnicorosatirieti.it,sito ufficiale,ATTENZIONE: è una PEC — meglio contatto telefonico
Graphitec Studio di Ippoliti Geom. Roberto,professionista,Rieti,RI,,,,ricerca web,geometra; contatti da completare
Studio Tecnico Cecca,professionista,Poggio Moiano,RI,,,,ricerca web,geometra; contatti da completare
